Lectura regla,V. Acum.,Area,V. Parcial,Cota
8.19,48750.00,102601.00,1017.00,1123.00
8.20,49785.00,104385.00,1035.00,1123.00
8.21,50837.00,106169.00,1053.00,1123.00
8.22,51908.00,107952.00,1071.00,1123.00
8.23,52996.00,109736.00,1088.00,1123.00
8.24,54103.00,111520.00,1106.00,1123.00
8.25,55229.00,113843.00,1127.00,1123.00
8.26,56379.00,116166.00,1150.00,1123.00
8.27,57553.00,118489.00,1173.00,1123.00
8.28,58749.00,120812.00,1197.00,1123.00
8.29,59969.00,123135.00,1220.00,1123.00
8.30,61212.00,125458.00,1243.00,1123.00
8.31,62478.00,127781.00,1266.00,1123.00
8.32,63768.00,130104.00,1289.00,1123.00
8.33,65080.00,132427.00,1313.00,1123.00
8.34,66416.00,134750.00,1336.00,1123.00
8.35,67775.00,137073.00,1359.00,1123.00
8.36,69158.00,139396.00,1382.00,1123.00
8.37,70563.00,141719.00,1406.00,1123.00
8.38,71992.00,144042.00,1429.00,1123.00
8.39,73444.00,146365.00,1452.00,1123.00
8.40,74919.00,148688.00,1475.00,1123.00
8.41,76418.00,151011.00,1498.00,1123.00
8.42,77939.00,153334.00,1522.00,1123.00
8.43,79484.00,155656.00,1545.00,1123.00
8.44,81053.00,157979.00,1568.00,1123.00
8.45,82644.00,160302.00,1591.00,1123.00
8.46,84259.00,162625.00,1615.00,1123.00
8.47,85896.00,164948.00,1638.00,1123.00
8.48,87558.00,167271.00,1661.00,1123.00
8.49,89242.00,169594.00,1684.00,1123.00
8.50,90952.00,172456.00,1710.00,1123.00
8.51,92691.00,175317.00,1739.00,1123.00
8.52,94458.00,178179.00,1767.00,1123.00
8.53,96255.00,181041.00,1796.00,1123.00
8.54,98079.00,183902.00,1825.00,1123.00
8.55,99933.00,186764.00,1853.00,1123.00
8.56,101815.00,189625.00,1882.00,1123.00
8.57,103725.00,192487.00,1911.00,1123.00
8.58,105664.00,195349.00,1939.00,1123.00
8.59,107632.00,198210.00,1968.00,1123.00
8.60,109629.00,201072.00,1996.00,1123.00
8.61,111654.00,203933.00,2025.00,1123.00
8.62,113707.00,206795.00,2054.00,1123.00
8.63,115789.00,209656.00,2082.00,1123.00
8.64,117900.00,212518.00,2111.00,1123.00
8.65,120040.00,215380.00,2139.00,1123.00
8.66,122208.00,218241.00,2168.00,1123.00
8.67,124405.00,221103.00,2197.00,1123.00
8.68,126630.00,223964.00,2225.00,1123.00
8.69,128884.00,226826.00,2254.00,1123.00
8.70,131166.00,229688.00,2283.00,1123.00
8.71,133478.00,232549.00,2311.00,1123.00
8.72,135817.00,235411.00,2340.00,1123.00
8.73,138186.00,238272.00,2368.00,1123.00
8.74,140583.00,241134.00,2397.00,1124.00
8.75,143008.00,243965.00,2425.00,1124.00
8.76,145462.00,246797.00,2454.00,1124.00
8.77,147944.00,249629.00,2482.00,1124.00
8.78,150455.00,252460.00,2510.00,1124.00
8.79,152994.00,255292.00,2539.00,1124.00
8.80,155561.00,258123.00,2567.00,1124.00
8.81,158156.00,260955.00,2595.00,1124.00
8.82,160780.00,263786.00,2624.00,1124.00
8.83,163432.00,266618.00,2652.00,1124.00
8.84,166112.00,269449.00,2680.00,1124.00
8.85,168821.00,272281.00,2709.00,1124.00
8.86,171558.00,275112.00,2737.00,1124.00
8.87,174323.00,277944.00,2765.00,1124.00
8.88,177117.00,280775.00,2794.00,1124.00
8.89,179938.00,283607.00,2822.00,1124.00
8.90,182789.00,286438.00,2850.00,1124.00
8.91,185667.00,289270.00,2879.00,1124.00
8.92,188574.00,292102.00,2907.00,1124.00
8.93,191509.00,294933.00,2935.00,1124.00
8.94,194473.00,297765.00,2963.00,1124.00
8.95,197465.00,300596.00,2992.00,1124.00
8.96,200485.00,303428.00,3020.00,1124.00
8.97,203533.00,306259.00,3048.00,1124.00
8.98,206610.00,309091.00,3077.00,1124.00
8.99,209715.00,311922.00,3105.00,1124.00
9.00,212848.00,314783.00,3134.00,1124.00
9.01,216011.00,317644.00,3162.00,1124.00
9.02,219201.00,320505.00,3191.00,1124.00
9.03,222421.00,323366.00,3219.00,1124.00
9.04,225669.00,326227.00,3248.00,1124.00
9.05,228945.00,329088.00,3277.00,1124.00
9.06,232250.00,331949.00,3305.00,1124.00
9.07,235584.00,334810.00,3334.00,1124.00
9.08,238947.00,337671.00,3362.00,1124.00
